# t (s),mx (),my (),mz (),Edens_demag.region5 (J/m3),Edens_exch.region5 (J/m3),,
0,0.6,0,0,8023.883,-0.0035483877,,angle step:1
0,0.59996957,0.003490481,0,8013.895,-0.0092730615,,
0,0.5998782,0.006979899,0,8003.976,-0.003293231,,
0,0.59972584,0.010467192,0,7994.13,0.0028632754,,
0,0.5995128,0.013951293,0,7984.356,-0.0088654915,,
0,0.59923893,0.01743115,0,7974.661,-0.006496793,,
0,0.5989044,0.020905692,0,7965.0474,-0.0005517279,,
0,0.59850925,0.024373868,0,7955.515,-0.01046512,,
0,0.5980537,0.027834624,0,7946.073,0.002279708,,
0,0.59753764,0.03128689,0,7936.7173,-0.0034834319,,
0,0.5969615,0.034729637,0,7927.455,-0.0027613516,,
0,0.59632546,0.038161803,0,7918.2876,-0.0018645622,,
0,0.5956295,0.04158234,0,7909.2173,-0.0014749789,,
0,0.5948741,0.04499021,0,7900.248,-0.007054708,,
0,0.5940591,0.04838438,0,7891.382,0.0015266208,,
0,0.5931852,0.051763814,0,7882.6216,-0.002965322,,
0,0.5922524,0.055127475,0,7873.971,-0.005455257,,
0,0.59126097,0.058474347,0,7865.4316,0.004869969,,
0,0.59021133,0.061803397,0,7857.0044,0.0026691894,,
0,0.5891037,0.06511364,0,7848.6953,-0.0035113737,,
0,0.58793855,0.06840403,0,7840.5034,-0.0036510425,,
0,0.58671606,0.0716736,0,7832.435,0.0013935643,,
0,0.5854368,0.07492131,0,7824.4897,-0.00481452,,
0,0.584101,0.07814622,0,7816.671,-0.002695737,,
0,0.58270913,0.08134734,0,7808.981,-0.0010374418,,
0,0.5812615,0.084523655,0,7801.4224,-0.0012659241,,
0,0.5797588,0.08767424,0,7793.9966,-0.0065604933,,
0,0.5782013,0.0907981,0,7786.7075,-0.0053675007,,
0,0.5765895,0.09389432,0,7779.5557,0.00658047,,
0,0.57492393,0.09696192,0,7772.5435,-0.0045542335,,
0,0.5732051,0.1,0,7765.6733,-0.0027671696,,
0,0.5714335,0.103007615,0,7758.9478,-0.00734736,,
0,0.56960964,0.10598385,0,7752.3696,-0.0032245098,,
0,0.5677341,0.10892781,0,7745.9385,-0.004826765,,
0,0.5658075,0.111838594,0,7739.659,0.0042471727,,
0,0.56383044,0.114715286,0,7733.5293,-0.0016834867,,
0,0.5618034,0.11755705,0,7727.5557,-0.00088292133,,
0,0.5597271,0.12036302,0,7721.7383,0.002710487,,
0,0.5576021,0.123132296,0,7716.0767,-0.008163843,,
0,0.55542916,0.12586407,0,7710.576,0.0021358442,,
0,0.5532089,0.12855752,0,7705.2354,-0.011664011,,
0,0.5509419,0.13121179,0,7700.0586,-0.004274557,,
0,0.548629,0.13382614,0,7695.0454,0.0016803988,,
0,0.5462708,0.13639969,0,7690.198,-0.0035359396,,
0,0.54386795,0.13893168,0,7685.519,0.00086536,,
0,0.54142135,0.14142138,0,7681.007,0.0010926716,,
0,0.53893167,0.14386795,0,7676.667,-0.0033838546,,
0,0.5363996,0.14627074,0,7672.4966,-0.0065086125,,
0,0.5338261,0.14862898,0,7668.5,-0.0042345673,,
0,0.5312118,0.15094192,0,7664.676,-0.008949711,,
0,0.52855754,0.1532089,0,7661.029,-0.0044151973,,
0,0.5258641,0.1554292,0,7657.5566,0.0028200508,,
0,0.52313226,0.15760216,0,7654.261,-0.0074207415,,
0,0.520363,0.1597271,0,7651.145,-0.0015164079,,
0,0.5175571,0.16180341,0,7648.208,-0.0023818312,,
0,0.51471525,0.1638304,0,7645.45,-0.0029857524,,
0,0.51183856,0.16580753,0,7642.875,0.006491673,,
0,0.5089278,0.16773413,0,7640.4805,-0.0065098833,,
0,0.5059838,0.16960962,0,7638.268,-0.004466617,,
0,0.50300765,0.17143346,0,7636.2397,0.0011005948,,
0,0.5,0.17320508,0,7634.3926,-0.0031385368,,
0,0.4969619,0.17492396,0,7632.732,-0.0063126255,,
0,0.49389434,0.17658953,0,7631.258,-0.000105502884,,
0,0.49079812,0.17820133,0,7629.965,-0.0037633062,,
0,0.48767418,0.1797588,0,7628.86,-0.0029777111,,
0,0.48452365,0.18126157,0,7627.94,-0.00074628246,,
0,0.48134732,0.1827091,0,7627.206,-0.0071421317,,
0,0.4781462,0.18410097,0,7626.66,-0.0011502188,,
0,0.47492135,0.18543677,0,7626.3003,-0.004054206,,
0,0.47167358,0.18671612,0,7626.1284,0.002727195,,
0,0.468404,0.18793853,0,7626.14,-0.009433465,,
0,0.46511367,0.18910372,0,7626.34,-0.0043342086,,
0,0.46180344,0.1902113,0,7626.7285,-0.00089202146,,
0,0.45847434,0.19126096,0,7627.3022,0.005412751,,
0,0.45512748,0.19225235,0,7628.062,-0.0034838812,,
0,0.45176387,0.19318517,0,7629.0083,-0.0009008273,,
0,0.44838437,0.19405915,0,7630.14,-0.0022224458,,
0,0.4449902,0.19487402,0,7631.4575,0.00047878947,,
0,0.44158235,0.19562952,0,7632.961,-0.0022609476,,
0,0.4381618,0.19632542,0,7634.6494,0.001331905,,
0,0.43472964,0.19696157,0,7636.521,0.0011120442,,
0,0.4312869,0.19753768,0,7638.5767,-0.0003663025,,
0,0.42783463,0.19805361,0,7640.8154,0.0035144298,,
0,0.42437387,0.19850925,0,7643.236,-0.003187006,,
0,0.4209057,0.19890438,0,7645.839,0.0025789437,,
0,0.41743115,0.19923896,0,7648.6216,-0.0038386104,,
0,0.4139513,0.19951281,0,7651.585,-0.004865119,,
0,0.41046715,0.19972591,0,7654.726,-0.0008325645,,
0,0.40697992,0.19987817,0,7658.0474,-0.001074248,,
0,0.40349048,0.19996956,0,7661.545,-0.007469439,,
0,0.4,0.2,0,7665.2188,-0.0035483877,,
0,0.39650953,0.19996955,0,7669.067,-0.007469439,,
0,0.39302012,0.19987817,0,7673.0894,-0.001074248,,
0,0.3895328,0.19972591,0,7677.2837,-0.00083256373,,
0,0.3860487,0.19951281,0,7681.6494,-0.0048651183,,
0,0.38256884,0.19923896,0,7686.185,-0.0038386104,,
0,0.37909433,0.19890438,0,7690.889,0.0025789437,,
0,0.37562615,0.19850925,0,7695.7603,-0.003187006,,
0,0.37216538,0.19805361,0,7700.7983,0.0035144298,,
0,0.36871308,0.19753768,0,7705.9985,-0.00036630267,,
0,0.36527035,0.19696157,0,7711.3623,0.0011120442,,
0,0.36183816,0.19632544,0,7716.8853,0.001331905,,
0,0.35841763,0.19562955,0,7722.5693,-0.002260948,,
0,0.35500976,0.194874,0,7728.409,0.00047878947,,
0,0.3516156,0.19405915,0,7734.405,-0.0022224456,,
0,0.3482362,0.19318517,0,7740.557,-0.0009008273,,
0,0.3448725,0.19225235,0,7746.859,-0.0034838812,,
0,0.34152564,0.19126096,0,7753.3115,0.005412751,,
0,0.3381966,0.1902113,0,7759.911,-0.00089202146,,
0,0.33488637,0.18910372,0,7766.6562,-0.0043342086,,
0,0.331596,0.18793853,0,7773.5474,-0.009433465,,
0,0.3283264,0.1867161,0,7780.58,0.002727195,,
0,0.32507864,0.18543677,0,7787.7515,-0.004054206,,
0,0.3218538,0.18410097,0,7795.0605,-0.0011502195,,
0,0.31865266,0.1827091,0,7802.5054,-0.0071421317,,
0,0.31547636,0.18126155,0,7810.0845,-0.00074628246,,
0,0.31232578,0.1797588,0,7817.7935,-0.0029777111,,
0,0.3092019,0.17820132,0,7825.63,-0.0037633057,,
